text,label
"সময় মতো যথেষ্ট সুন্দর কথা বলেছেন",positive
"১০০ ভাগ সত্য, এরা এমন কথা বলে",Positive
"মাশাল্লাহ অনেক সুন্দর কথা আপনাদের মত কথা বলে এত সুন্দর সুন্দর আমার কলিজার ভাই ও বোনেরা কোথায় আমি দেখতে চাই সবাই দেখতে চাই আল্লাহ যেন তোমাদের নেক হায়াত দান করেন",Positive
"বাংলাদেশ অচল না শুধু আওয়ামী লীগ অচল",positive
"আপনাকে ছাড়া দূর্নীতি অচল",negative
"বিশ্ববিদ্যালয় শিক্ষার্থীদের উচ্চমানের একাডেমিক জ্ঞান এবং গবেষণা দক্ষতা প্রদান করে",positive
"ভার্সিটির সময়কালে শিক্ষার্থীরা শুধু একাডেমিক শিক্ষা নয়, বরং ব্যক্তিগত দক্ষতা, যেমন যোগাযোগ, নেতৃত্ব, এবং সমস্যা সমাধান ক্ষমতা উন্নত করে",positive
" ভার্সিটি শিক্ষার্থীদের নানান প্রান্তের মানুষের সাথে মেলামেশার সুযোগ দেয়, যা পরবর্তীতে চাকরি বা ব্যক্তিগত জীবনে সাহায্য করতে পারে",positive
" বিশ্ববিদ্যালয়ে বিভিন্ন ক্লাব, সংগঠন ও কার্যক্রমের মাধ্যমে শিক্ষার্থীরা নতুন নতুন অভিজ্ঞতা অর্জন করতে পারে, যা ব্যক্তিগত ও পেশাগত উন্নতিতে সহায়ক",positive
"ভার্সিটির পড়াশোনার চাপ অনেক সময় অতিরিক্ত হতে পারে, যা শিক্ষার্থীদের মানসিক চাপের কারণ হতে পারে",negative
"ভার্সিটির ফি এবং অন্যান্য খরচ অনেক শিক্ষার্থীর জন্য আর্থিক চাপ সৃষ্টি করে",negative
"ভার্সিটির ব্যস্ততা এবং বিভিন্ন একাডেমিক কাজের কারণে অনেক সময় শিক্ষার্থীরা পরিবার বা বন্ধুদের সাথে সময় কাটানোর সুযোগ পায় না",negative
"ভার্সিটির ডিগ্রি থাকা সত্ত্বেও অনেকেই চাকরি খুঁজে পেতে সমস্যার সম্মুখীন হন, যা হতাশা বাড়াতে পারে",negative
"ভার্সিটির জীবনে বিভিন্ন সামাজিক এবং প্রতিযোগিতামূলক পরিবেশে মানিয়ে নেওয়া কঠিন হতে পারে",negative
"কিছু মানুষ মনে করে মেয়েরা অত্যধিক আবেগপ্রবণ হয়, যা সিদ্ধান্ত গ্রহণের ক্ষেত্রে বাধা সৃষ্টি করতে পারে",negative
"মেয়েদের শারীরিকভাবে দুর্বল বলে বিবেচনা করা হয়, যদিও এটি বাস্তবতা নয়, কিন্তু প্রাচীন ধ্যান-ধারণায় মেয়েদের দুর্বল হিসাবে দেখা হত",negative
"কিছু সমাজে মেয়েদের অর্থনৈতিকভাবে পুরুষদের উপর নির্ভরশীল হিসাবে দেখা হয়, যা তাদের স্বাধীনতা সীমিত করে",negative
"অনেক সময় মেয়েদের সম্পর্কে বলা হয় যে তারা গুজব বা ছোটখাটো বিষয় নিয়ে বেশি আলোচনা করে, যা নেতিবাচক হিসাবে দেখা হয়",negative
"কর্পোরেট জগতে বা কাজের জায়গায় কিছু মানুষ মনে করে মেয়েরা কিছু ক্ষেত্রে উন্নতির পথে বাধা হতে পারে, যদিও এটা ভুল ধারণা",negative
"মেয়েদের সাধারণত অনেক মমতাময়ী এবং সহানুভূতিশীল হিসাবে বিবেচনা করা হয়। তারা পরিবারের যত্ন নেয়, সন্তান লালনপালনে গুরুত্বপূর্ণ ভূমিকা রাখে",positive
